i,refi,refq
878,0.512982,-0.858400
879,0.871563,0.490283
880,-0.467246,0.884127
881,-0.896082,-0.443888
882,0.420224,-0.907420
883,0.918134,0.396271
884,-0.372045,0.928215
885,-0.937657,-0.347562
886,0.322841,-0.946453
887,0.954598,0.297897
888,-0.272748,0.962086
889,-0.968911,-0.247411
890,0.221904,-0.975069
891,0.980555,0.196244
892,-0.170449,0.985366
893,-0.989499,-0.144537
894,0.118525,-0.992951
895,0.995719,0.092431
896,-0.066274,0.997801
897,-0.999197,-0.040071
898,0.013841,-0.999904
899,0.999923,-0.012399
900,0.038630,0.999254
901,-0.997896,0.064835
902,-0.090995,-0.995851
903,0.993121,-0.117093
904,0.143109,0.989707
905,-0.985611,0.169028
906,-0.194830,-0.980837
907,0.975388,-0.220498
908,0.246013,0.969266
909,-0.962478,0.271360
910,-0.296520,-0.955027
911,0.946918,-0.321475
912,0.346210,0.938157
913,-0.928750,0.370705
914,-0.394946,-0.918704
915,0.908026,-0.418915
916,0.442595,0.896722
917,-0.884800,0.465970
918,-0.489025,-0.872270
919,0.859139,-0.511743
920,0.534109,0.845416
921,-0.831111,0.556107
922,-0.577722,-0.816234
923,0.800795,-0.598939
924,0.619743,0.784804
925,-0.768274,0.640122
926,-0.660059,-0.751214
927,0.733637,-0.679542
928,0.698557,0.715555
929,-0.696980,0.717091
930,-0.735131,-0.677925
931,0.658404,-0.752665
932,0.769681,0.638429
933,-0.618014,0.786167
934,-0.802111,-0.597175
935,0.575923,-0.817504
936,0.832333,0.554276
937,-0.532246,0.846589
938,-0.860263,-0.509851
939,0.487104,-0.873344
940,0.885824,0.464022
941,-0.440620,0.897694
942,-0.908946,-0.416915
943,0.392923,-0.919571
944,0.929564,0.368660
945,-0.344144,0.938917
946,-0.947623,-0.319390
947,0.294417,-0.955677
948,0.963073,0.269241
949,-0.243879,0.969806
950,-0.975871,-0.218350
951,0.192670,-0.981264
952,0.985981,0.166858
953,-0.140931,0.990020
954,-0.993376,-0.114906
955,0.088803,-0.996049
956,0.998036,0.062638
957,-0.036431,0.999336
958,-0.999948,-0.010198
959,-0.016042,-0.999871
960,0.999106,-0.042271
961,0.068470,0.997653
962,-0.995513,0.094623
963,-0.120710,-0.992688
964,0.989179,-0.146714
965,0.172618,0.984989
966,-0.980121,0.198402
967,-0.224050,-0.974578
968,0.968364,-0.249543
969,0.274865,0.961483
970,-0.953940,0.299997
971,-0.324923,-0.945740
972,0.936890,-0.349625
973,0.374087,0.927394
974,-0.917259,0.398291
975,-0.422220,-0.906493
976,0.895103,-0.445859
977,0.469191,0.883097
978,-0.870482,0.492200
979,-0.514870,-0.857268
980,0.843464,-0.537185
981,0.559131,0.829079
982,-0.814124,0.580692
983,-0.601852,-0.798607
984,0.782541,-0.622599
985,0.642916,0.765936
986,-0.748804,0.662791
987,-0.682210,-0.731156
988,0.713005,-0.701159
989,0.719625,0.694363
990,-0.675242,0.737596
991,-0.755059,-0.655657
992,0.635620,-0.772002
993,0.788413,0.615146
994,-0.594248,0.804282
995,-0.819597,-0.572941
996,0.551240,-0.834347
997,0.848523,0.529158
998,-0.506713,0.862115
999,-0.875113,-0.483919
1000,0.460791,-0.887509
1001,0.899293,0.437346
1002,-0.413601,0.910458
1003,-0.920997,-0.389570
1004,0.365271,-0.930901
1005,0.940165,0.340721
1006,-0.315936,0.948781
1007,-0.956743,-0.290933
1008,0.265730,-0.964047
1009,0.970688,0.240344
1010,-0.214793,0.976660
1011,-0.981959,-0.189094
1012,0.163264,-0.986582
1013,0.990526,0.137323
1014,-0.111286,0.993788
1015,-0.996366,-0.085173
1016,0.059002,-0.998258
1017,0.999462,0.032789
1018,-0.006555,0.999979
1019,-0.999806,0.019685
1020,-0.045911,-0.998946
1021,0.997397,-0.072105
1022,0.098249,0.995162
1023,-0.992241,0.124326
1024,-0.150317,-0.988638
1025,0.991812,-0.127708
1026,0.105032,0.994469
1027,-0.996607,0.082301
1028,-0.059528,-0.998227
1029,0.999325,-0.036723
1030,0.013899,0.999903
1031,-0.999960,-0.008932
1032,0.031758,-0.999496
1033,0.998510,0.054568
1034,-0.077349,0.997004
1035,-0.994978,-0.100090
1036,0.122779,-0.992434
1037,0.989372,0.145404
1038,-0.167953,0.985795
1039,-0.981704,-0.190415
1040,0.212777,-0.977101
1041,0.971988,0.235028
1042,-0.257157,0.966370
1043,-0.960247,-0.279152
1044,0.301001,-0.953624
1045,0.946503,0.322694
1046,-0.344218,0.938890
1047,-0.930787,-0.365563
1048,0.386717,-0.922198
1049,0.913129,0.407670
1050,-0.428410,0.903584
1051,-0.893569,-0.448927
1052,0.469210,-0.883087
1053,0.872145,0.489248
1054,-0.509031,0.860748
1055,-0.848903,-0.528549
1056,0.547791,-0.836615
1057,0.823891,0.566748
1058,-0.585410,0.810738
1059,-0.797162,-0.603766
1060,0.621807,-0.783170
1061,0.768771,0.639525
1062,-0.656909,0.753970
1063,-0.738777,-0.673950
1064,0.690641,-0.723198
1065,0.707242,0.706971
1066,-0.722933,0.690918
1067,-0.674234,-0.738518
